certificate,genre,rate,metascore,votes,gross,critic_reviews,popularity,awards_wins,awards_nominations,Oscar_Best_Picture_won,Oscar_Best_Picture_nominated,Oscar_Best_Director_won,Oscar_Best_Actor_won,Oscar_Best_Actress_won
PG-13,Comedy|Fantasy|Romance,6.4000001,44.0,66660,47100000.0,125.0,2363.0,1,4,No,No,No,No,No
G,Animation|Adventure|Comedy,7.0,88.0,144475,106790000.0,186.0,2859.0,5,11,No,No,No,No,No
PG-13,Action|Adventure|Family,5.69999981,40.0,273203,154700000.0,278.0,1876.0,0,0,No,No,No,No,No
R,Biography|Drama|Romance,7.4000001,61.0,63852,25780000.0,126.0,2508.0,2,12,No,No,No,No,No
PG-13,Adventure|Drama|Fantasy,8.80000019,92.0,1286275,313840000.0,296.0,204.0,26,67,No,Yes,No,No,No
PG-13,Action|Adventure|Thriller,6.0999999,59.0,249988,215400000.0,234.0,2153.0,1,2,No,No,No,No,No
R,Action|Horror|Sci-Fi,6.69999981,33.0,204545,39530000.0,225.0,355.0,0,0,No,No,No,No,No
PG-13,Action|Adventure|Sci-Fi,7.4000001,64.0,468351,157300000.0,289.0,655.0,0,3,No,No,No,No,No
G,Animation|Adventure|Comedy,7.30000019,70.0,133781,89300000.0,141.0,1332.0,2,7,No,No,No,No,No
PG,Animation|Drama|Family,7.4000001,83.0,197604,53340000.0,266.0,2022.0,0,5,No,No,No,No,No
PG,Action|Adventure|Fantasy,6.69999981,54.0,485730,310680000.0,291.0,544.0,0,6,No,No,No,No,No
PG-13,Action|Adventure|Fantasy,7.5999999,68.0,543318,380260000.0,356.0,387.0,2,7,No,No,No,No,No
PG,Animation|Adventure|Comedy,7.9000001,84.0,483447,267650000.0,212.0,1064.0,9,22,No,No,No,No,No
PG-13,Action|Adventure|Sci-Fi,5.69999981,50.0,181213,180010000.0,230.0,1144.0,0,5,No,No,No,No,No
PG,Animation|Adventure|Family,7.0999999,60.0,74746,38120000.0,127.0,2568.0,0,1,No,No,No,No,No
R,Horror|Sci-Fi,7.0999999,49.0,197982,39240000.0,211.0,1353.0,0,0,No,No,No,No,No
R,Crime|Drama|Thriller,7.69999981,69.0,316040,76260000.0,109.0,930.0,2,7,No,No,No,Yes,No
PG-13,Action|War,6.5999999,62.0,66965,77090000.0,178.0,3236.0,0,0,No,No,No,No,No
R,Crime|Drama,7.5999999,64.0,371133,15050000.0,284.0,515.0,0,3,No,No,No,No,No
PG-13,Action|Adventure,7.30000019,73.0,561251,403710000.0,291.0,437.0,1,6,No,No,No,No,No
PG-13,Action|Adventure|Fantasy,5.69999981,33.0,161278,131140000.0,198.0,2068.0,0,0,No,No,No,No,No
R,Comedy|Drama|Music,7.5,79.0,146486,27280000.0,175.0,2450.0,0,7,No,No,No,No,No
PG,Comedy|Family|Romance,3.5999999,27.0,16035,35230000.0,57.0,2495.0,0,0,No,No,No,No,No
R,Adventure|Drama|History,7.19999981,73.0,120878,95630000.0,196.0,779.0,5,35,No,No,No,No,No
PG-13,Action|Adventure|Comedy,5.5,52.0,148354,125310000.0,179.0,2293.0,0,1,No,No,No,No,No
R,Biography|Drama,7.69999981,72.0,10887,6170000.0,73.0,,0,1,No,No,No,No,No
PG-13,Adventure|Drama|Romance,7.69999981,73.0,409544,233630000.0,222.0,690.0,6,15,No,No,No,No,No
R,Comedy|Drama,7.4000001,88.0,98471,6200000.0,123.0,2232.0,4,21,No,No,No,No,No
PG-13,Action|Adventure|Sci-Fi,5.9000001,42.0,227486,181170000.0,197.0,2041.0,0,1,No,No,No,No,No
R,Adventure|Drama|Romance,6.5999999,43.0,182324,39780000.0,118.0,1240.0,0,0,No,No,No,No,No
R,Action|Horror|Sci-Fi,5.69999981,24.0,104404,73210000.0,177.0,2149.0,0,0,No,No,No,No,No
PG-13,Action|Drama|Thriller,6.4000001,45.0,88382,118470000.0,176.0,1974.0,0,0,No,No,No,No,No
R,Crime|Drama|Thriller,6.30000019,42.0,60579,74060000.0,133.0,1872.0,0,0,No,No,No,No,No
R,Action|Crime|Thriller,6.0999999,52.0,58111,55970000.0,69.0,2339.0,0,0,No,No,No,No,No
G,Animation|Adventure|Family,7.0999999,52.0,46943,73220000.0,105.0,3222.0,0,4,No,No,No,No,No
R,Drama|Mystery|Thriller,8.0,81.0,247207,7220000.0,253.0,564.0,11,29,No,No,No,No,No
PG-13,Action|Fantasy|Horror,6.80000019,72.0,250754,59040000.0,243.0,1092.0,0,1,No,No,No,No,No
PG-13,Adventure|Drama|Fantasy,8.89999962,94.0,1264277,377020000.0,325.0,327.0,48,72,Yes,Yes,Yes,No,No
PG-13,Adventure|Drama|Fantasy,8.69999981,88.0,1145458,340480000.0,292.0,590.0,25,60,No,Yes,No,No,No
R,Crime|Drama|Musical,8.0,61.0,82205,4160000.0,125.0,3270.0,3,17,No,No,No,No,No
PG,Adventure|Drama|Musical,8.19999981,84.0,77479,,69.0,3473.0,0,0,No,No,No,No,No
PG,Comedy|Family|Fantasy,6.0,46.0,150313,260030000.0,176.0,1593.0,2,9,No,No,No,No,No
R,Action|Comedy|Crime,6.5999999,38.0,183145,138400000.0,94.0,1569.0,0,0,No,No,No,No,No
R,Action|Adventure|Drama,8.5,64.0,1024040,187670000.0,265.0,365.0,18,51,Yes,Yes,No,Yes,No
R,Comedy,6.19999981,48.0,192128,157000000.0,94.0,1213.0,0,0,No,No,No,No,No
PG-13,Action|Adventure|Drama,6.4000001,59.0,135888,182620000.0,229.0,3304.0,1,7,No,No,No,No,No
R,Biography|Drama,7.4000001,70.0,45631,7060000.0,132.0,3271.0,3,23,No,No,No,No,No
R,Drama,8.39999962,68.0,596759,3610000.0,238.0,245.0,9,28,No,No,No,No,No
PG-13,Action|Mystery|Sci-Fi,7.69999981,80.0,413070,132010000.0,251.0,874.0,4,26,No,No,No,No,No
R,Action|Sci-Fi|Thriller,6.4000001,66.0,313931,150350000.0,278.0,1166.0,0,0,No,No,No,No,No
R,Crime|Drama|Thriller,7.5999999,86.0,173632,124110000.0,220.0,1469.0,18,47,No,Yes,Yes,No,No
R,Adventure|Comedy|Drama,7.9000001,90.0,212643,32520000.0,146.0,1002.0,22,55,No,No,No,No,No
R,Crime|Drama|Thriller,7.0,63.0,42344,16940000.0,131.0,2410.0,0,2,No,No,No,No,No
R,Comedy,6.5,49.0,190379,90570000.0,154.0,2501.0,0,0,No,No,No,No,No
R,Biography|Drama,7.0,77.0,23585,8600000.0,114.0,,1,2,No,No,No,No,No
PG-13,Action|Adventure|Romance,6.9000001,54.0,140668,56080000.0,165.0,1236.0,1,1,No,No,No,No,No
R,Comedy|Drama,7.4000001,73.0,55707,19390000.0,172.0,,9,30,No,No,No,No,No
PG-13,Action|Adventure|Sci-Fi,2.4000001,9.0,66552,21470000.0,173.0,1982.0,0,0,No,No,No,No,No
PG-13,Comedy|Fantasy,5.30000019,38.0,82544,39440000.0,86.0,2772.0,0,0,No,No,No,No,No
PG-13,Crime|Drama|Mystery,7.4000001,67.0,84574,44980000.0,170.0,2283.0,0,2,No,No,No,No,No
PG-13,Action|Adventure|Thriller,6.4000001,73.0,61837,90450000.0,166.0,3244.0,0,0,No,No,No,No,No
PG-13,Action|Crime|Thriller,6.5,35.0,223486,101640000.0,175.0,1388.0,0,0,No,No,No,No,No
